2016-03-26,1458921600,,,
B2402442,P001,911,0000,1.6
B2402442,P001,922,0000,1
B2402442,P001,923,0000,90
B2402442,P001,924,0000,10
B2402442,P001,926,0000,18
B2402442,P001,936,0000,13.9
B2402442,P001,937,0000,6
B2402442,P002,911,0000,0.7
B2402442,P002,922,0000,2
B2402442,P002,923,0000,66
B2402442,P002,924,0000,3
B2402442,P002,926,0000,15
B2402442,P002,936,0000,16.7
B2402442,P002,937,0000,4.1
B2402442,P003,911,0000,0
B2402442,P003,922,0000,0
B2402442,P003,923,0000,0
B2402442,P003,924,0000,0
B2402442,P003,926,0000,0
B2402442,P003,936,0000,0
B2402442,P003,937,0000,0
L0056153,P001,911,0000,1.2
L0056153,P001,923,0000,102
L0056153,P001,924,0000,10
L0056153,P001,926,0000,17
L0056153,P001,936,0000,9.2
L0056153,P002,911,0000,1.1
L0056153,P002,923,0000,99
L0056153,P002,924,0000,10
L0056153,P002,926,0000,7
L0056153,P002,936,0000,10.2
L0200473,P011,911,0000,9
L0200473,P011,922,0000,32
L0200473,P011,923,0000,44
L0200473,P011,936,0000,4.5
L0200473,P021,911,0000,5
L0200473,P021,922,0000,31
L0200473,P021,923,0000,40
L0200473,P021,936,0000,4.8
L0200473,P101,911,0000,14.8
L0200473,P101,922,0000,54
L0200473,P101,923,0000,81
L0200473,P101,936,0000,4.9
L0200473,P201,911,0000,14
L0200473,P201,922,0000,35
L0200473,P201,923,0000,84
L0200473,P201,936,0000,4.7
L0200473,P301,911,0000,15.8
L0200473,P301,922,0000,61
L0200473,P301,923,0000,79
L0200473,P301,936,0000,5.9
L0200473,P401,911,0000,0
L0200473,P401,922,0000,0
L0200473,P401,923,0000,0
L0200473,P401,936,0000,0
L0200473,P501,911,0000,0
L0200473,P501,922,0000,0
L0200473,P501,923,0000,0
L0200473,P501,936,0000,0
L0200473,P601,911,0000,12.3
L0200473,P601,922,0000,46
L0200473,P601,923,0000,80
L0200473,P601,936,0000,5.2
L0200473,P701,911,0000,13.5
L0200473,P701,922,0000,51
L0200473,P701,923,0000,79
L0200473,P701,936,0000,5.1
L0200473,P801,911,0000,15.7
L0200473,P801,922,0000,40
L0200473,P801,923,0000,78
L0200473,P801,936,0000,4.9
L0200633,P001,911,0000,1.9
L0200633,P007,911,0000,4.6
L0200633,P007,922,0000,27
L0200633,P007,923,0000,24
L0200633,P007,936,0000,5.3
L0200633,P008,911,0000,0
L0200633,P008,922,0000,0
L0200633,P008,923,0000,0
L0200633,P008,936,0000,0
L0200633,P009,911,0000,3.7
L0200633,P009,922,0000,18
L0200633,P009,923,0000,12
L0200633,P009,936,0000,5.4
L0200633,PE01,911,0000,2.4
L0200633,PE01,922,0000,21
L0200633,PE01,923,0000,48
L0200633,PE01,936,0000,14
L0200633,PJ07,911,0000,0
L0200633,PJ07,922,0000,0
L0200633,PJ07,923,0000,0
L0200633,PJ07,936,0000,0
L0200633,PL07,911,0000,2.8
L0200633,PL07,922,0000,0
L0200633,PL07,923,0000,0
L0200633,PL07,936,0000,0
L0200633,PM01,911,0000,4.2
L0200633,PM01,922,0000,25
L0200633,PM01,923,0000,17
L0200633,PM01,936,0000,11.1
L0200633,PP01,911,0000,2.5
L0200633,PP01,922,0000,18
L0200633,PP01,923,0000,0
L0200633,PP01,936,0000,6.2
L0200633,PQ01,911,0000,1.1
L0200633,PQ01,922,0000,18
L0200633,PQ01,923,0000,1
L0200633,PQ01,936,0000,4.8
L9101748,P002,923,0000,0
L9101748,P002,936,0000,0
L9101748,P003,923,0000,26
L9101748,P003,936,0000,3.3
L9101748,P102,927,0000,154
L9200693,P001,911,0000,9.9
L9200693,P001,922,0000,50
L9200693,P001,923,0000,253
L9200693,P001,936,0000,9.2
