2017-12-02,1512144000,,,
P5801728,P201,911,0000,10.4
P5801728,P301,911,0000,6.7
P5801728,P401,911,0000,8.8
P5801728,P501,911,0000,3.2
P5801728,P601,911,0000,4.7
P5801728,P701,911,0000,10.6
P5802074,P001,911,0000,5.47
P5802074,P002,911,0000,2.39
P5802092,PP06,923,0000,-
P5802092,PP06,936,0000,-
P5802092,PG01,911,0000,-
P5802092,PG01,922,0000,-
P5802092,PG01,923,0000,-
P5802092,PG01,936,0000,-
P5802092,PG02,911,0000,6.5
P5802092,PG02,922,0000,22
P5802092,PG02,923,0000,25
P5802092,PG02,936,0000,5.3
P5802421,P01A,911,0000,7.44
P5802421,P01A,922,0000,3.57
P5802421,P01A,923,0000,38.34
P5802421,P01A,924,0000,86.63
P5802421,P01A,936,0000,4.07
P5802421,P04A,911,0000,-
P5802421,P04A,922,0000,-
P5802421,P04A,923,0000,-
P5802421,P04A,924,0000,-
P5802421,P04A,936,0000,-
P5802421,P05A,911,0000,5.22
P5802421,P05A,922,0000,8
P5802421,P05A,923,0000,26.67
P5802421,P05A,924,0000,20.18
P5802421,P05A,936,0000,5.55
P5802421,P101,911,0000,4.7
P5802421,P101,922,0000,3
P5802421,P101,923,0000,24
P5802421,P101,924,0000,0
P5802421,P101,936,0000,6.5
P5802421,P101,937,0000,8
P5802421,P201,911,0000,5.6
P5802421,P201,922,0000,0
P5802421,P201,923,0000,3
P5802421,P201,924,0000,0
P5802421,P201,936,0000,4.5
P5802421,P201,937,0000,8
P5802421,P301,911,0000,2.7
P5802421,P301,922,0000,5
P5802421,P301,923,0000,16
P5802421,P301,924,0000,0
P5802421,P301,936,0000,6
P5802421,P301,937,0000,9
P5802421,P401,911,0000,-
P5802421,P401,922,0000,-
P5802421,P401,923,0000,-
P5802421,P401,924,0000,-
P5802421,P401,936,0000,-
P5802421,P401,937,0000,-
P5802421,P701,911,0000,90.3
P5802421,P701,922,0000,10
P5802421,P701,923,0000,34
P5802421,P701,924,0000,6
P5802421,P701,936,0000,1.9
P5802421,P701,937,0000,13
P5802421,P801,911,0000,89.6
P5802421,P801,922,0000,3
P5802421,P801,923,0000,31
P5802421,P801,924,0000,18
P5802421,P801,936,0000,1.6
P5802421,P801,937,0000,12
P5802421,PC01,911,0000,1
P5802421,PC01,922,0000,0
P5802421,PC01,923,0000,16
P5802421,PC01,924,0000,0
P5802421,PC01,936,0000,8.4
P5802421,PC01,937,0000,16
P5802421,PD01,911,0000,2.8
P5802421,PD01,922,0000,0
P5802421,PD01,923,0000,17
P5802421,PD01,924,0000,0
P5802421,PD01,936,0000,8.5
P5802421,PD01,937,0000,17
P5802421,PE01,911,0000,3.8
P5802421,PE01,922,0000,0
P5802421,PE01,923,0000,17
P5802421,PE01,924,0000,0
P5802421,PE01,936,0000,8.2
P5802421,PE01,937,0000,17
P5802421,PQ01,911,0000,-
P5802421,PQ01,922,0000,-
P5802421,PQ01,923,0000,-
P5802421,PQ01,924,0000,-
P5802421,PQ01,936,0000,-
P5802421,PQ01,937,0000,-
P5802430,PA01,911,0000,12.18
P5802430,PA01,922,0000,13.38
P5802430,PA01,923,0000,33.95
P5802430,PA01,924,0000,31.66
P5802430,PA01,936,0000,5.38
P5802430,PB01,911,0000,-
P5802430,PB01,922,0000,-
P5802430,PB01,923,0000,-
P5802430,PB01,924,0000,-
P5802430,PB01,936,0000,-
P5802430,PC01,911,0000,9.2
P5802430,PC01,922,0000,14.54
P5802430,PC01,923,0000,30.78
P5802430,PC01,924,0000,214.9
P5802430,PC01,936,0000,5.02
P5802430,PD01,911,0000,10.88
P5802430,PD01,922,0000,15.72
P5802430,PD01,923,0000,32.45
P5802430,PD01,924,0000,18.87
P5802430,PD01,936,0000,7.22
P5802430,PE01,911,0000,10.74
P5802430,PE01,922,0000,15.07
P5802430,PE01,923,0000,29.09
P5802430,PE01,924,0000,11.62
P5802430,PE01,936,0000,5.55
P4600987,P001,911,0000,2.7
P4600987,P001,922,0000,13
P4600987,P001,923,0000,48
P4600987,P001,936,0000,7
P4600987,P002,911,0000,-
P4600987,P002,922,0000,-
P4600987,P002,923,0000,-
P4600987,P002,936,0000,-
P6201053,P001,222,0000,-
P6201053,P001,223,0000,-
P6201053,P001,224,0000,-
P6201053,P001,236,0000,-
P6201053,P001,248,0000,-
P6201053,P001,259,0000,-
P6201053,P001,911,0000,-
P6201053,P001,922,0000,-
P6201053,P001,923,0000,-
P6201053,P001,924,0000,-
P6201053,P001,936,0000,-
P6201053,P002,222,0000,1
P6201053,P002,223,0000,52
P6201053,P002,224,0000,1
P6201053,P002,236,0000,15
P6201053,P002,248,0000,11551
P6201053,P002,259,0000,131
P6201053,P002,911,0000,6.3
P6201053,P002,922,0000,0
P6201053,P002,923,0000,52
P6201053,P002,924,0000,0
P6201053,P002,936,0000,15.2
P5801719,P101,222,0000,-
P5801719,P101,223,0000,-
P5801719,P101,224,0000,-
P5801719,P101,236,0000,-
P5801719,P101,248,0000,-
P5801719,P101,259,0000,-
P5801719,P101,911,0000,-
P5801719,P101,922,0000,-
P5801719,P101,923,0000,-
P5801719,P101,924,0000,-
P5801719,P101,936,0000,-
P5801719,P201,222,0000,-
P5801719,P201,223,0000,-
P5801719,P201,224,0000,-
P5801719,P201,236,0000,-
P5801719,P201,248,0000,-
P5801719,P201,259,0000,-
P5801719,P201,911,0000,-
P5801719,P201,922,0000,-
P5801719,P201,923,0000,-
P5801719,P201,924,0000,-
P5801719,P201,936,0000,-
P5801719,P401,222,0000,13
P5801719,P401,223,0000,37
P5801719,P401,224,0000,52
P5801719,P401,236,0000,5.2
P5801719,P401,248,0000,1814419
P5801719,P401,259,0000,28
P5801719,P401,911,0000,9.4
P5801719,P401,922,0000,13
P5801719,P401,923,0000,37
P5801719,P401,924,0000,52
P5801719,P401,936,0000,5.3
P5801728,P201,222,0000,19
P5801728,P201,223,0000,34
P5801728,P201,224,0000,90
P5801728,P201,236,0000,5.5
P5801728,P201,248,0000,268181
P5801728,P201,259,0000,53
P5801728,P201,922,0000,18
P5801728,P201,923,0000,33
P5801728,P201,924,0000,66
P5801728,P201,936,0000,5.5
P5801728,P301,222,0000,14
P5801728,P301,223,0000,31
P5801728,P301,224,0000,63
P5801728,P301,236,0000,3.4
P5801728,P301,248,0000,250943
P5801728,P301,259,0000,53
P5801728,P301,922,0000,14
P5801728,P301,923,0000,32
P5801728,P301,924,0000,45
P5801728,P301,936,0000,3.4
P5801728,P401,222,0000,16
P5801728,P401,223,0000,34
P5801728,P401,224,0000,45
P5801728,P401,236,0000,4
P5801728,P401,248,0000,300827
P5801728,P401,259,0000,53
P5801728,P401,922,0000,16
P5801728,P401,923,0000,33
P5801728,P401,924,0000,59
P5801728,P401,936,0000,3.9
P5801728,P501,222,0000,15
P5801728,P501,223,0000,29
P5801728,P501,224,0000,11
P5801728,P501,236,0000,4.8
P5801728,P501,248,0000,290349
P5801728,P501,259,0000,54
P5801728,P501,922,0000,14
P5801728,P501,923,0000,27
P5801728,P501,924,0000,12
P5801728,P501,936,0000,4.8
P5801728,P601,222,0000,18
P5801728,P601,223,0000,35
P5801728,P601,224,0000,7
P5801728,P601,236,0000,5.3
P5801728,P601,248,0000,443722
P5801728,P601,259,0000,53
P5801728,P601,922,0000,18
P5801728,P601,923,0000,36
P5801728,P601,924,0000,7
P5801728,P601,936,0000,5.3
P5801728,P701,222,0000,18
P5801728,P701,223,0000,30
P5801728,P701,224,0000,79
P5801728,P701,236,0000,4.7
