2018-07-15,1531584000,,,
F0501686,P001,911,0000,2.30
F0501686,P001,924,0000,0.00
F0501686,P002,923,0000,56.00
F0701702,P001,911,0000,0.00
F0701702,P002,922,0000,24.00
F0703948,P001,922,0000,2.00
F0703948,P001,924,0000,19.00
F0703948,P002,922,0000,3.00
F0703948,P003,911,0000,2.70
F0703948,P003,924,0000,21.00
F1600491,P901,911,0000,12.70
F0501686,P001,922,0000,1.00
F0501686,P002,911,0000,1.80
F0701702,P001,922,0000,0.00
F0701702,P001,923,0000,0.00
F0701702,P002,911,0000,7.80
F0701702,P002,923,0000,55.00
F0703948,P001,911,0000,0.60
F0703948,P002,924,0000,9.00
F0703948,P003,923,0000,104.00
F1700736,P601,911,0000,2.40
F1700736,P701,922,0000,0.00
F2300972,P101,911,0000,2.10
F2300972,P101,924,0000,3.00
F2300972,P201,911,0000,1.50
F2300972,P201,923,0000,71.00
F2300972,P301,911,0000,1.10
F1600491,P901,923,0000,56.00
F1700736,P601,922,0000,4.00
F1700736,P701,911,0000,2.60
F1700736,P701,923,0000,0.00
F2300972,P101,923,0000,97.00
F2300972,P201,924,0000,2.00
F2300972,P301,922,0000,2.00
F2300972,P301,923,0000,63.00
F2300972,P301,924,0000,4.00
F0501686,P001,923,0000,1.00
F0501686,P002,922,0000,16.00
F0501686,P002,924,0000,7.00
F0703948,P001,923,0000,83.00
F0703948,P002,911,0000,0.80
F0703948,P002,923,0000,101.00
F0703948,P003,922,0000,4.00
F1600491,P901,922,0000,22.00
F1700736,P601,923,0000,18.00
F2300972,P101,922,0000,5.00
F2300972,P201,922,0000,3.00
F0501686,P001,911,0006,2.30
F0701702,P001,911,0006,0.00
F0703948,P003,911,0006,2.70
F1600491,P901,911,0006,12.70
F0501686,P002,911,0006,1.80
F0701702,P002,911,0006,7.80
F0703948,P001,911,0006,0.50
F1700736,P601,911,0006,2.40
F2300972,P101,911,0006,2.00
F2300972,P201,911,0006,1.60
F2300972,P301,911,0006,1.10
F1700736,P701,911,0006,2.60
F0703948,P002,911,0006,0.80
F0501686,P001,911,0012,2.30
F0701702,P001,911,0012,0.00
F0703948,P003,911,0012,2.70
F1600491,P901,911,0012,12.70
F0501686,P002,911,0012,1.80
F0701702,P002,911,0012,7.90
F0703948,P001,911,0012,0.50
F1700736,P601,911,0012,2.40
F2300972,P101,911,0012,2.00
F2300972,P201,911,0012,1.50
F2300972,P301,911,0012,1.10
F1700736,P701,911,0012,2.60
F0703948,P002,911,0012,0.80
F0501686,P001,924,0015,0.00
F0501686,P002,923,0015,53.00
F0701702,P002,922,0015,23.00
F0703948,P001,922,0015,2.00
F0703948,P001,924,0015,13.00
F0703948,P002,922,0015,3.00
F0703948,P003,924,0015,10.00
F0501686,P001,922,0015,1.00
F0701702,P001,922,0015,0.00
F0701702,P001,923,0015,0.00
F0701702,P002,923,0015,65.00
F0703948,P002,924,0015,9.00
F0703948,P003,923,0015,106.00
F1700736,P701,922,0015,0.00
F2300972,P101,924,0015,4.00
F2300972,P201,923,0015,72.00
F1600491,P901,923,0015,66.00
F1700736,P601,922,0015,4.00
F1700736,P701,923,0015,0.00
F2300972,P101,923,0015,86.00
F2300972,P201,924,0015,2.00
F2300972,P301,922,0015,1.00
F2300972,P301,923,0015,73.00
F2300972,P301,924,0015,3.00
F0501686,P001,923,0015,1.00
F0501686,P002,922,0015,17.00
F0501686,P002,924,0015,10.00
F0703948,P001,923,0015,83.00
F0703948,P002,923,0015,107.00
F0703948,P003,922,0015,6.00
